car, days, price


2, 2, 7490.0
2, 3, 11235.0
1, 2, 85600.0
1, 2, 85600.0
2, 1, 3745.0
3, 5, 12037.5
1, 3, 128400.0
1, 4, 171200.0
3, 5, 12037.5
4, 5, 8961.25
4, 6, 10753.5
2, 3, 11235.0
2, 3, 11235.0
3, 2, 4815.0
3, 4, 9630.0
3, 3, 7222.5
4, 3, 5376.75
3, 4, 9630.0
1, 3, 128400.0
4, 100, 179225.0
3, 4, 9630.0
3, 2, 4815.0
2, 10, 37450.0
5, 5, 8560.0
2, 4, 14980.0
5, 2, 3424.0
3, 9, 21667.5
2, 3, 11235.0
2, 3, 11235.0
3, 2, 4815.0
3, 2, 4815.0
3, 2, 4815.0
2, 1, 3745.0
2, 2, 7490.0
1, 23, 984400.0
